;filename;gender_gt;age_gt;shirt_pred;shirt_gt;pant_pred;pant_gt
0;/rs02550.png',;1;0;0;2;4;7
1; '/rs05266.png',;1;0;1;1;1;1
2; '/rs06389.png',;1;1;2;2;2;2
3; '/rs07960.png',;1;1;3;3;3;3
4; '/rs04497.png',;1;1;1;1;1;1
5; '/rs02832.png',;1;1;7;7;7;7
6; '/rs02358.png',;1;1;0;3;5;3
7; '/rs02057.png',;1;0;4;6;6;1
8; '/rs03550.png',;1;0;7;7;7;7
9; '/rs06083.png',;1;0;5;5;5;3
10; '/rs03925.png',;1;1;7;7;7;7
11; '/rs05762.png',;1;1;5;5;5;3
12; '/rs06190.png',;1;0;6;7;6;3
13; '/rs02932.png',;1;0;2;2;2;2
14; '/rs07323.png',;0;1;7;7;7;7
15; '/rs04324.png',;1;0;6;6;1;7
16; '/rs03329.png',;1;0;4;6;4;2
17; '/rs04220.png',;0;0;2;2;3;3
18; '/rs03133.png',;0;1;5;5;5;7
19; '/rs01129.png',;0;1;5;1;5;3
20; '/rs08401.png',;1;1;1;7;1;4
21; '/rs07226.png',;0;1;1;1;1;2
22; '/rs01162.png',;0;0;7;7;7;7
23; '/rs02898.png',;1;0;3;3;3;7
24; '/rs00658.png',;1;0;6;6;7;7
25; '/rs06539.png',;1;0;0;0;1;1
26; '/rs00003.png',;1;0;2;2;2;2
27; '/rs04746.png',;0;0;7;7;7;3
28; '/rs00497.png',;0;0;4;4;4;3
29; '/rs06937.png',;0;0;3;3;4;3
30; '/rs01319.png',;1;0;5;2;5;1
31; '/rs05413.png',;1;1;7;7;7;7
32; '/rs07595.png',;1;0;0;3;2;2
33; '/rs04801.png',;0;0;4;2;4;2
34; '/rs05243.png',;1;0;4;4;4;7
35; '/rs02293.png',;1;1;4;5;4;5
36; '/rs07475.png',;0;0;4;4;4;7
37; '/rs05973.png',;;;2;2;1;1
38; '/rs03715.png',;0;0;1;1;1;1
39; '/rs01901.png',;1;0;0;4;0;3
40; '/rs01001.png',;0;0;1;1;1;1
41; '/rs02398.png',;1;1;6;6;1;1
42; '/rs06144.png',;1;0;4;4;4;4
43; '/rs03981.png',;1;1;6;4;6;6
44; '/rs08007.png',;0;0;7;7;7;7
45; '/rs07948.png',;1;0;2;2;2;7
46; '/rs08093.png',;1;0;5;7;5;7
47; '/rs04474.png',;1;0;4;7;4;1
48; '/rs07216.png',;1;1;4;4;4;7
49; '/rs01555.png',;1;1;1;1;2;2
50; '/rs01391.png',;0;0;5;5;1;1
51; '/rs06502.png',;1;1;4;3;4;3
52; '/rs06930.png',;1;0;1;2;1;1
53; '/rs01388.png',;1;1;3;3;2;2
54; '/rs03127.png',;0;0;1;1;1;2
55; '/rs01097.png',;1;0;7;1;7;7
56; '/rs05372.png',;1;1;0;5;1;1
57; '/rs01591.png',;1;0;1;6;1;1
58; '/rs02185.png',;1;1;6;6;6;6
59; '/rs05337.png',;1;0;3;3;3;3
60; '/rs05776.png',;1;0;1;1;1;3
61; '/rs03996.png',;1;0;4;5;4;7
62; '/rs07369.png';1;0;6;6;4;7
